timestamp,symbol,price
1717218000000,DOGE,0.1702
1717279200000,DOGE,0.1722
1717282800000,DOGE,0.1727
1717311600000,DOGE,0.1719
1717315200000,DOGE,0.1719
1717326000000,DOGE,0.1725
1717376400000,DOGE,0.1731
1717437600000,DOGE,0.1703
1717470000000,DOGE,0.1693
1717491600000,DOGE,0.1712
1717538400000,DOGE,0.169
1717567200000,DOGE,0.1698
1717617600000,DOGE,0.1599
1717632000000,DOGE,0.1591
1717718400000,DOGE,0.16
1717794000000,DOGE,0.1543
1717812000000,DOGE,0.1562
1717819200000,DOGE,0.1564
1717934400000,DOGE,0.1513
1717974000000,DOGE,0.1513
1717977600000,DOGE,0.1505
1717995600000,DOGE,0.1517
1718100000000,DOGE,0.1441
1718175600000,DOGE,0.1533
1718204400000,DOGE,0.1593
1718247600000,DOGE,0.1667
1718294400000,DOGE,0.1655
1718298000000,DOGE,0.1657
1718312400000,DOGE,0.1662
1718380800000,DOGE,0.1941
1718424000000,DOGE,0.1907
1718499600000,DOGE,0.1834
1718506800000,DOGE,0.1796
1718564400000,DOGE,0.1774
1718571600000,DOGE,0.1763
1718676000000,DOGE,0.171
1718701200000,DOGE,0.1675
1718712000000,DOGE,0.165
1718780400000,DOGE,0.1666
1718816400000,DOGE,0.1636
1718834400000,DOGE,0.1618
1718884800000,DOGE,0.1647
1718910000000,DOGE,0.1646
1718928000000,DOGE,0.1553
1718938800000,DOGE,0.1528
1718956800000,DOGE,0.1532
1718964000000,DOGE,0.1533
1718974800000,DOGE,0.1501
1718996400000,DOGE,0.1517
1719032400000,DOGE,0.1433
1719054000000,DOGE,0.129
1719068400000,DOGE,0.1294
1719097200000,DOGE,0.1308
1719100800000,DOGE,0.1333
1719126000000,DOGE,0.1383
1719129600000,DOGE,0.1397
1719136800000,DOGE,0.1417
1719140400000,DOGE,0.1413
1719147600000,DOGE,0.1387
1719154800000,DOGE,0.137
1719165600000,DOGE,0.1393
1719172800000,DOGE,0.1357
1719183600000,DOGE,0.1385
1719198000000,DOGE,0.1382
1719230400000,DOGE,0.1293
1719302400000,DOGE,0.1342
1719309600000,DOGE,0.1362
1719313200000,DOGE,0.136
1719327600000,DOGE,0.1388
1719352800000,DOGE,0.1416
1719363600000,DOGE,0.1418
1719414000000,DOGE,0.1502
1719421200000,DOGE,0.1505
1719489600000,DOGE,0.1427
1719547200000,DOGE,0.1411
1719550800000,DOGE,0.1409
1719579600000,DOGE,0.1386
1719604800000,DOGE,0.1402
1719622800000,DOGE,0.1423
1719626400000,DOGE,0.1419
1719630000000,DOGE,0.1417
1719651600000,DOGE,0.1425
1719687600000,DOGE,0.1426
1719698400000,DOGE,0.1431
1719712800000,DOGE,0.1422
1719741600000,DOGE,0.1424
1719752400000,DOGE,0.142
1719720000000,DOGE,0.1379
1719759600000,DOGE,0.1394
1719774000000,DOGE,0.1415
